"Part";"Value";"Device";"Package";"Description";"";
"CLOCK_BATT";"3V Backup Battery";"BATTERY12PTH";"BATTCON_12MM_PTH";"Battery Holders";"";
"COUT";"1uF";"C-EUC0603";"C0603-ROUND";"CAPACITOR, European symbol";"";
"C_LDO_SD";">=2.2uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C_LDO_SENSE";">=2.2uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"DECOUP";">=1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"H0";"";"M083.5MM-8";"SCREWTERMINAL-3.5MM-8";"Header 8";"";
"H1";"";"M083.5MM-8";"SCREWTERMINAL-3.5MM-8";"Header 8";"";
"H2";"";"M04SCREW";"SCREWTERMINAL-3.5MM-4";"Header 4";"";
"IC1";"LTC4412";"LTC4412ES6";"TSOT23-6";"Low Loss PowerPath Controller";"";
"ISP";"AVRISP-6";"AVRISP-6";"AVRISP";"AVR ISP HEADER";"";
"J1";"POWER_JACKPTH";"POWER_JACKPTH";"POWER_JACK_PTH";"Power Jack";"";
"LD0_SD";"LP2985";"LP298XS";"SOT23-5L";"";"";
"LD0_SENSE";"LP2985";"LP298XS";"SOT23-5L";"";"";
"LED";"";"LED3MM";"LED3MM";"LEDs";"";
"LOGO1";"OSHW-LOGOM";"OSHW-LOGOM";"OSHW-LOGO-M";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";
"LSHIFT";"4050D";"4050D";"SO16";"Hex non-inverting BUFFER";"";
"MANUAL_LOG";"Log Now";"TL3350'TL3350'";"TL_BUTTON";"Dual action (half- and full-press) button:";"";
"PU1";"4.7K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"PU2";"4.7K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"Q1";"FDN360P";"FDN360P";"SUPER-SOT3";"Single P-Channel, PowerTrench (R) MOSFET";"";
"Q2";"FDN360P";"FDN360P";"SUPER-SOT3";"Single P-Channel, PowerTrench (R) MOSFET";"";
"RSTAT";"470k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"RTC";"DS3231SN";"DS3231SN";"SO16W";"";"";
"R_LED";"330";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"R_REF_A0";"Therm";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R_REF_A1";"";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R_REF_A2";"";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R_REF_A3";"";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R_REF_A6";"";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R_REF_A7";"";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"S2";"Reset";"TAC_SWITCHSND";"TACTILE_SWITCH_SMD";"Momentary Switch";"";
"SD";"SDMMC06132";"SDMMC06132";"06132";"SD MMC Card holder";"";
"U$2";"ALOG_LOGO_V1_5.5MM";"ALOG_LOGO_V1_5.5MM";"ALOG_LOGO_V1_SMALL";"";"";
"U$3";"NWLOGO_MED";"NWLOGO_MED";"NWLOGO_MED";"Medium-sized Northern Widget logo";"";
"U$9";"ARDUINO_SHIELD_PIN_PURPOSE";"ARDUINO_SHIELD_PIN_PURPOSE";"ARDUINO_SHIELD_PINS_ONLY";"";"";
